Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, Positive, 0.46, 0.53, 0.23, 0.32, 07/19/24-00:30:36
senticnet, Negative, 0.46, 0.30, 0.04, 0.06, 07/19/24-00:30:36
senticnet, Neutral, 0.46, 0.46, 0.88, 0.60, 07/19/24-00:30:36
senticnet, AVERAGE, 0.46, 0.46, 0.46, 0.46, 07/19/24-00:30:36
gpt-4o, Positive, 0.73, 0.83, 0.70, 0.76, 07/19/24-00:36:33
gpt-4o, Negative, 0.73, 0.71, 0.78, 0.75, 07/19/24-00:36:33
gpt-4o, Neutral, 0.73, 0.72, 0.71, 0.72, 07/19/24-00:36:33
gpt-4o, AVERAGE, 0.73, 0.74, 0.73, 0.74, 07/19/24-00:36:33
gpt-4-turbo, Positive, 0.70, 0.74, 0.70, 0.72, 07/19/24-00:44:27
gpt-4-turbo, Negative, 0.70, 0.68, 0.84, 0.75, 07/19/24-00:44:27
gpt-4-turbo, Neutral, 0.70, 0.72, 0.59, 0.65, 07/19/24-00:44:27
gpt-4-turbo, AVERAGE, 0.70, 0.70, 0.70, 0.70, 07/19/24-00:44:27
gpt-3.5-turbo-0125, Positive, 0.61, 0.63, 0.81, 0.71, 07/19/24-00:50:21
gpt-3.5-turbo-0125, Negative, 0.61, 0.57, 0.79, 0.66, 07/19/24-00:50:21
gpt-3.5-turbo-0125, Neutral, 0.61, 0.70, 0.39, 0.50, 07/19/24-00:50:21
gpt-3.5-turbo-0125, AVERAGE, 0.61, 0.62, 0.61, 0.62, 07/19/24-00:50:21
claude-3-5-sonnet-20240620, Positive, 0.72, 0.70, 0.78, 0.74, 07/19/24-01:05:07
claude-3-5-sonnet-20240620, Negative, 0.72, 0.73, 0.76, 0.75, 07/19/24-01:05:07
claude-3-5-sonnet-20240620, Neutral, 0.72, 0.73, 0.67, 0.70, 07/19/24-01:05:07
claude-3-5-sonnet-20240620, AVERAGE, 0.72, 0.72, 0.72, 0.72, 07/19/24-01:05:07
claude-3-haiku-20240307, Positive, 0.60, 0.68, 0.74, 0.71, 07/19/24-01:19:42
claude-3-haiku-20240307, Negative, 0.60, 0.63, 0.65, 0.64, 07/19/24-01:19:42
claude-3-haiku-20240307, Neutral, 0.60, 0.71, 0.50, 0.58, 07/19/24-01:19:42
claude-3-haiku-20240307, AVERAGE, 0.60, 0.67, 0.60, 0.63, 07/19/24-01:19:42
senticnet, positive, 0.46, 0.53, 0.23, 0.32, 07/25/24-18:35:42
senticnet, negative, 0.46, 0.30, 0.04, 0.06, 07/25/24-18:35:42
senticnet, neutral, 0.46, 0.46, 0.88, 0.60, 07/25/24-18:35:42
senticnet, AVERAGE, 0.46, 0.46, 0.46, 0.46, 07/25/24-18:35:42
gpt-4o, positive, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:41:16
gpt-4o, negative, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:41:16
gpt-4o, neutral, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:41:16
gpt-4o, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:41:16
senticnet, positive, 0.47, 0.50, 0.24, 0.32, 07/25/24-18:43:08
senticnet, negative, 0.47, 0.26, 0.03, 0.05, 07/25/24-18:43:08
senticnet, neutral, 0.47, 0.48, 0.87, 0.62, 07/25/24-18:43:08
senticnet, AVERAGE, 0.47, 0.47, 0.47, 0.47, 07/25/24-18:43:08
gpt-4o, positive, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:47:12
gpt-4o, negative, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:47:12
gpt-4o, neutral, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:47:12
gpt-4o, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/25/24-18:47:12
senticnet, positive, 0.47, 0.50, 0.24, 0.32, 07/25/24-18:52:02
senticnet, negative, 0.47, 0.26, 0.03, 0.05, 07/25/24-18:52:02
senticnet, neutral, 0.47, 0.48, 0.87, 0.62, 07/25/24-18:52:02
senticnet, AVERAGE, 0.47, 0.47, 0.47, 0.47, 07/25/24-18:52:02
gpt-4o, positive, 0.75, 0.83, 0.72, 0.77, 07/25/24-18:56:08
gpt-4o, negative, 0.75, 0.70, 0.85, 0.77, 07/25/24-18:56:08
gpt-4o, neutral, 0.75, 0.77, 0.70, 0.73, 07/25/24-18:56:08
gpt-4o, AVERAGE, 0.75, 0.75, 0.75, 0.75, 07/25/24-18:56:08
gpt-4-turbo, positive, 0.69, 0.72, 0.74, 0.73, 07/25/24-19:02:41
gpt-4-turbo, negative, 0.69, 0.65, 0.86, 0.74, 07/25/24-19:02:41
gpt-4-turbo, neutral, 0.69, 0.75, 0.55, 0.64, 07/25/24-19:02:41
gpt-4-turbo, AVERAGE, 0.69, 0.70, 0.69, 0.70, 07/25/24-19:02:41
gpt-3.5-turbo-0125, positive, 0.61, 0.61, 0.82, 0.70, 07/25/24-19:07:03
gpt-3.5-turbo-0125, negative, 0.61, 0.55, 0.80, 0.65, 07/25/24-19:07:03
gpt-3.5-turbo-0125, neutral, 0.61, 0.71, 0.38, 0.49, 07/25/24-19:07:03
gpt-3.5-turbo-0125, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/25/24-19:07:03
claude-3-5-sonnet-20240620, positive, 0.72, 0.68, 0.78, 0.73, 07/25/24-19:18:56
claude-3-5-sonnet-20240620, negative, 0.72, 0.71, 0.80, 0.75, 07/25/24-19:18:56
claude-3-5-sonnet-20240620, neutral, 0.72, 0.76, 0.63, 0.69, 07/25/24-19:18:56
claude-3-5-sonnet-20240620, AVERAGE, 0.72, 0.72, 0.72, 0.72, 07/25/24-19:18:56
claude-3-haiku-20240307, positive, 0.62, 0.66, 0.78, 0.72, 07/25/24-19:35:25
claude-3-haiku-20240307, negative, 0.62, 0.62, 0.70, 0.66, 07/25/24-19:35:25
claude-3-haiku-20240307, neutral, 0.62, 0.75, 0.50, 0.60, 07/25/24-19:35:25
claude-3-haiku-20240307, AVERAGE, 0.62, 0.68, 0.62, 0.65, 07/25/24-19:35:25
open-mistral-nemo-2407, positive, 0.59, 0.71, 0.35, 0.47, 07/25/24-19:44:52
open-mistral-nemo-2407, negative, 0.59, 0.61, 0.56, 0.58, 07/25/24-19:44:52
open-mistral-nemo-2407, neutral, 0.59, 0.57, 0.72, 0.63, 07/25/24-19:44:52
open-mistral-nemo-2407, AVERAGE, 0.59, 0.59, 0.59, 0.59, 07/25/24-19:44:52
mistral-large-latest, positive, 0.63, 0.75, 0.63, 0.68, 07/25/24-19:54:56
mistral-large-latest, negative, 0.63, 0.54, 0.90, 0.68, 07/25/24-19:54:56
mistral-large-latest, neutral, 0.63, 0.72, 0.45, 0.55, 07/25/24-19:54:56
mistral-large-latest, AVERAGE, 0.63, 0.63, 0.63, 0.63, 07/25/24-19:54:56
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/27/24-22:12:27
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/27/24-22:12:27
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/27/24-22:12:27
