Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, positive, 0.49, 0.47, 0.24, 0.32, 07/27/24-22:13:34
senticnet, negative, 0.49, 0.26, 0.03, 0.06, 07/27/24-22:13:34
senticnet, neutral, 0.49, 0.50, 0.87, 0.63, 07/27/24-22:13:34
senticnet, AVERAGE, 0.49, 0.49, 0.49, 0.49, 07/27/24-22:13:34
gpt-4o, positive, 0.64, 0.83, 0.64, 0.72, 07/27/24-22:16:22
gpt-4o, negative, 0.64, 0.62, 0.75, 0.68, 07/27/24-22:16:22
gpt-4o, neutral, 0.64, 0.83, 0.57, 0.68, 07/27/24-22:16:22
gpt-4o, AVERAGE, 0.64, 0.74, 0.64, 0.69, 07/27/24-22:16:22
gpt-4-turbo, positive, 0.63, 0.67, 0.80, 0.73, 07/27/24-22:20:30
gpt-4-turbo, negative, 0.63, 0.55, 0.94, 0.69, 07/27/24-22:20:30
gpt-4-turbo, neutral, 0.63, 0.82, 0.36, 0.50, 07/27/24-22:20:30
gpt-4-turbo, AVERAGE, 0.63, 0.64, 0.63, 0.63, 07/27/24-22:20:30
gpt-3.5-turbo-0125, positive, 0.55, 0.58, 0.80, 0.67, 07/27/24-22:23:11
gpt-3.5-turbo-0125, negative, 0.55, 0.49, 0.94, 0.64, 07/27/24-22:23:11
gpt-3.5-turbo-0125, neutral, 0.55, 0.81, 0.21, 0.34, 07/27/24-22:23:11
gpt-3.5-turbo-0125, AVERAGE, 0.55, 0.55, 0.55, 0.55, 07/27/24-22:23:11
claude-3-5-sonnet-20240620, positive, 0.65, 0.66, 0.83, 0.74, 07/27/24-22:32:33
claude-3-5-sonnet-20240620, negative, 0.65, 0.60, 0.90, 0.72, 07/27/24-22:32:33
claude-3-5-sonnet-20240620, neutral, 0.65, 0.83, 0.43, 0.56, 07/27/24-22:32:33
claude-3-5-sonnet-20240620, AVERAGE, 0.65, 0.68, 0.65, 0.67, 07/27/24-22:32:33
claude-3-haiku-20240307, positive, 0.47, 0.58, 0.72, 0.64, 07/27/24-22:42:25
claude-3-haiku-20240307, negative, 0.47, 0.43, 0.89, 0.58, 07/27/24-22:42:25
claude-3-haiku-20240307, neutral, 0.47, 0.87, 0.11, 0.19, 07/27/24-22:42:25
claude-3-haiku-20240307, AVERAGE, 0.47, 0.49, 0.47, 0.48, 07/27/24-22:42:25
open-mistral-nemo-2407, positive, 0.61, 0.83, 0.29, 0.43, 07/27/24-22:50:13
open-mistral-nemo-2407, negative, 0.61, 0.62, 0.55, 0.58, 07/27/24-22:50:13
open-mistral-nemo-2407, neutral, 0.61, 0.58, 0.77, 0.66, 07/27/24-22:50:13
open-mistral-nemo-2407, AVERAGE, 0.61, 0.61, 0.61, 0.61, 07/27/24-22:50:13
mistral-large-latest, positive, 0.16, 0.90, 0.26, 0.40, 07/27/24-22:58:37
mistral-large-latest, negative, 0.16, 0.49, 0.32, 0.39, 07/27/24-22:58:37
