Model, Class, Accuracy, Precision, Recall, F1, timestamp
claude-3-5-sonnet-20240620, disgust, 0.55, 0.12, 0.50, 0.20, 08/07/24-19:02:17
claude-3-5-sonnet-20240620, fear, 0.55, 1.00, 0.33, 0.50, 08/07/24-19:02:17
claude-3-5-sonnet-20240620, neutral, 0.55, 0.60, 0.81, 0.69, 08/07/24-19:02:17
claude-3-5-sonnet-20240620, AVERAGE, 0.55, 0.55, 0.55, 0.55, 08/07/24-19:02:17
claude-3-haiku-20240307, surprise, 0.36, 0.00, 0.00, 0.00, 08/07/24-19:16:50
claude-3-haiku-20240307, contempt, 0.36, 0.80, 0.08, 0.14, 08/07/24-19:16:50
claude-3-haiku-20240307, anger, 0.36, 0.41, 0.24, 0.30, 08/07/24-19:16:50
claude-3-haiku-20240307, sadness, 0.36, 0.08, 0.50, 0.13, 08/07/24-19:16:50
claude-3-haiku-20240307, happiness, 0.36, 0.65, 0.62, 0.63, 08/07/24-19:16:50
claude-3-haiku-20240307, indignation, 0.36, 0.15, 0.40, 0.22, 08/07/24-19:16:50
claude-3-haiku-20240307, disgust, 0.36, 0.03, 0.50, 0.06, 08/07/24-19:16:50
claude-3-haiku-20240307, fear, 0.36, 0.00, 0.00, 0.00, 08/07/24-19:16:50
claude-3-haiku-20240307, neutral, 0.36, 0.71, 0.38, 0.50, 08/07/24-19:16:50
claude-3-haiku-20240307, AVERAGE, 0.36, 0.39, 0.36, 0.38, 08/07/24-19:16:50
