Model, Class, Accuracy, Precision, Recall, F1, timestamp
mistral-large-latest, AVERAGE, 0.88, 0.88, 0.88, 0.88, 07/28/24-18:33:53
senticnet, positive, 0.54, 0.51, 0.91, 0.66, 07/30/24-13:04:42
senticnet, negative, 0.54, 0.68, 0.18, 0.29, 07/30/24-13:04:42
senticnet, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/30/24-13:04:42
gpt-4o, positive, 0.91, 0.96, 0.86, 0.90, 07/30/24-13:08:10
gpt-4o, negative, 0.91, 0.88, 0.96, 0.92, 07/30/24-13:08:10
gpt-4o, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-13:08:10
gpt-4-turbo, positive, 0.92, 0.95, 0.88, 0.91, 07/30/24-13:16:11
gpt-4-turbo, negative, 0.92, 0.89, 0.96, 0.92, 07/30/24-13:16:11
gpt-4-turbo, AVERAGE, 0.92, 0.92, 0.92, 0.92, 07/30/24-13:16:11
senticnet, positive, 0.54, 0.51, 0.91, 0.66, 07/30/24-14:52:18
senticnet, negative, 0.54, 0.68, 0.18, 0.29, 07/30/24-14:52:18
senticnet, AVERAGE, 0.54, 0.54, 0.54, 0.54, 07/30/24-14:52:18
gpt-4o, positive, 0.92, 0.97, 0.86, 0.91, 07/30/24-14:55:59
gpt-4o, negative, 0.92, 0.88, 0.97, 0.92, 07/30/24-14:55:59
gpt-4o, AVERAGE, 0.92, 0.92, 0.92, 0.92, 07/30/24-14:55:59
gpt-4-turbo, positive, 0.91, 0.95, 0.86, 0.91, 07/30/24-15:03:03
gpt-4-turbo, negative, 0.91, 0.88, 0.96, 0.92, 07/30/24-15:03:03
gpt-4-turbo, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-15:03:03
gpt-3.5-turbo-0125, positive, 0.91, 0.92, 0.89, 0.90, 07/30/24-15:06:24
gpt-3.5-turbo-0125, negative, 0.91, 0.90, 0.92, 0.91, 07/30/24-15:06:24
gpt-3.5-turbo-0125, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-15:06:24
open-mistral-nemo-2407, positive, 0.91, 0.93, 0.88, 0.90, 07/30/24-15:14:30
open-mistral-nemo-2407, negative, 0.91, 0.89, 0.94, 0.91, 07/30/24-15:14:30
open-mistral-nemo-2407, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/30/24-15:14:30
mistral-large-latest, positive, 0.87, 0.96, 0.77, 0.85, 07/30/24-15:23:07
mistral-large-latest, negative, 0.87, 0.82, 0.97, 0.89, 07/30/24-15:23:07
mistral-large-latest, AVERAGE, 0.87, 0.87, 0.87, 0.87, 07/30/24-15:23:07
