Model, Class, Accuracy, Precision, Recall, F1, timestamp
senticnet, Positive, 0.00, 0.67, 0.01, 0.02, 07/19/24-00:33:52
senticnet, Negative, 0.00, 0.00, 0.00, 0.00, 07/19/24-00:33:52
senticnet, Neutral, 0.00, 0.00, 0.00, 0.00, 07/19/24-00:33:52
senticnet, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/19/24-00:33:52
senticnet, positive, 0.00, 0.67, 0.01, 0.02, 07/19/24-00:36:18
senticnet, negative, 0.00, 0.00, 0.00, 0.00, 07/19/24-00:36:18
senticnet, neutral, 0.00, 0.00, 0.00, 0.00, 07/19/24-00:36:18
senticnet, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/19/24-00:36:18
senticnet, positive, 0.00, 0.67, 0.01, 0.02, 07/25/24-20:02:05
senticnet, negative, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:02:05
senticnet, neutral, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:02:05
senticnet, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:02:05
gpt-4o, positive, 0.83, 0.99, 0.73, 0.84, 07/25/24-20:05:34
gpt-4o, negative, 0.83, 0.97, 0.92, 0.94, 07/25/24-20:05:34
gpt-4o, neutral, 0.83, 0.00, 0.00, 0.00, 07/25/24-20:05:34
gpt-4o, AVERAGE, 0.83, 0.83, 0.83, 0.83, 07/25/24-20:05:34
senticnet, positive, 0.00, 0.67, 0.01, 0.02, 07/25/24-20:07:29
senticnet, negative, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:07:29
senticnet, neutral, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:07:29
senticnet, AVERAGE, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:07:29
gpt-4-turbo, positive, 0.84, 0.99, 0.72, 0.83, 07/25/24-20:13:38
gpt-4-turbo, negative, 0.84, 0.92, 0.94, 0.93, 07/25/24-20:13:38
gpt-4-turbo, neutral, 0.84, 0.00, 0.00, 0.00, 07/25/24-20:13:38
gpt-4-turbo, AVERAGE, 0.84, 0.84, 0.84, 0.84, 07/25/24-20:13:38
gpt-3.5-turbo-0125, positive, 0.84, 0.94, 0.80, 0.86, 07/25/24-20:16:51
gpt-3.5-turbo-0125, negative, 0.84, 0.91, 0.87, 0.89, 07/25/24-20:16:51
gpt-3.5-turbo-0125, neutral, 0.84, 0.00, 0.00, 0.00, 07/25/24-20:16:51
gpt-3.5-turbo-0125, AVERAGE, 0.84, 0.84, 0.84, 0.84, 07/25/24-20:16:51
claude-3-5-sonnet-20240620, positive, 0.84, 0.97, 0.80, 0.88, 07/25/24-20:26:47
claude-3-5-sonnet-20240620, negative, 0.84, 0.98, 0.89, 0.93, 07/25/24-20:26:47
claude-3-5-sonnet-20240620, neutral, 0.84, 0.00, 0.00, 0.00, 07/25/24-20:26:47
claude-3-5-sonnet-20240620, AVERAGE, 0.84, 0.84, 0.84, 0.84, 07/25/24-20:26:47
senticnet, negative, 0.00, 0.00, 0.00, 0.00, 07/25/24-20:47:15
senticnet, positive, 0.00, 0.67, 0.01, 0.02, 07/25/24-20:47:15
senticnet, AVERAGE, 0.00, 0.67, 0.00, 0.01, 07/25/24-20:47:15
gpt-4o, negative, 0.94, 0.92, 0.97, 0.95, 07/25/24-20:50:26
gpt-4o, positive, 0.94, 0.96, 0.91, 0.94, 07/25/24-20:50:26
gpt-4o, AVERAGE, 0.94, 0.94, 0.94, 0.94, 07/25/24-20:50:26
gpt-4-turbo, negative, 0.91, 0.87, 0.98, 0.92, 07/25/24-20:55:48
gpt-4-turbo, positive, 0.91, 0.98, 0.83, 0.90, 07/25/24-20:55:48
gpt-4-turbo, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/25/24-20:55:48
gpt-3.5-turbo-0125, negative, 0.90, 0.89, 0.92, 0.90, 07/25/24-20:58:47
gpt-3.5-turbo-0125, positive, 0.90, 0.90, 0.87, 0.89, 07/25/24-20:58:47
gpt-3.5-turbo-0125, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/25/24-20:58:47
claude-3-5-sonnet-20240620, negative, 0.94, 0.93, 0.96, 0.95, 07/25/24-21:09:09
claude-3-5-sonnet-20240620, positive, 0.94, 0.96, 0.92, 0.94, 07/25/24-21:09:09
claude-3-5-sonnet-20240620, AVERAGE, 0.94, 0.94, 0.94, 0.94, 07/25/24-21:09:09
claude-3-haiku-20240307, negative, 0.91, 0.94, 0.89, 0.91, 07/25/24-21:18:25
claude-3-haiku-20240307, positive, 0.91, 0.88, 0.93, 0.91, 07/25/24-21:18:25
claude-3-haiku-20240307, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/25/24-21:18:25
open-mistral-nemo-2407, negative, 0.75, 0.68, 0.98, 0.81, 07/25/24-21:35:16
open-mistral-nemo-2407, positive, 0.75, 0.96, 0.49, 0.65, 07/25/24-21:35:16
open-mistral-nemo-2407, AVERAGE, 0.75, 0.75, 0.75, 0.75, 07/25/24-21:35:16
mistral-large-latest, negative, 0.86, 0.80, 0.99, 0.88, 07/25/24-21:43:37
mistral-large-latest, positive, 0.86, 0.98, 0.73, 0.84, 07/25/24-21:43:37
mistral-large-latest, AVERAGE, 0.86, 0.86, 0.86, 0.86, 07/25/24-21:43:37
gpt-4o, negative, 0.95, 0.93, 0.97, 0.95, 07/26/24-09:03:26
gpt-4o, positive, 0.95, 0.97, 0.92, 0.94, 07/26/24-09:03:26
gpt-4o, AVERAGE, 0.95, 0.95, 0.95, 0.95, 07/26/24-09:03:26
senticnet, negative, 0.53, 0.53, 1.00, 0.69, 07/26/24-15:02:46
senticnet, positive, 0.53, 0.67, 0.01, 0.02, 07/26/24-15:02:46
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/26/24-15:02:46
senticnet, negative, 0.53, 0.53, 1.00, 0.69, 07/26/24-15:03:48
senticnet, positive, 0.53, 0.67, 0.01, 0.02, 07/26/24-15:03:48
senticnet, AVERAGE, 0.53, 0.53, 0.53, 0.53, 07/26/24-15:03:48
gpt-4o, negative, 0.94, 0.91, 0.98, 0.94, 07/26/24-15:07:36
gpt-4o, positive, 0.94, 0.98, 0.89, 0.93, 07/26/24-15:07:36
gpt-4o, AVERAGE, 0.94, 0.94, 0.94, 0.94, 07/26/24-15:07:36
gpt-4-turbo, negative, 0.91, 0.87, 0.98, 0.92, 07/26/24-15:13:41
gpt-4-turbo, positive, 0.91, 0.98, 0.84, 0.90, 07/26/24-15:13:41
gpt-4-turbo, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/26/24-15:13:41
gpt-3.5-turbo-0125, negative, 0.90, 0.89, 0.92, 0.90, 07/26/24-15:16:49
gpt-3.5-turbo-0125, positive, 0.90, 0.91, 0.87, 0.89, 07/26/24-15:16:49
gpt-3.5-turbo-0125, AVERAGE, 0.90, 0.90, 0.90, 0.90, 07/26/24-15:16:49
claude-3-5-sonnet-20240620, negative, 0.95, 0.93, 0.97, 0.95, 07/26/24-15:28:18
claude-3-5-sonnet-20240620, positive, 0.95, 0.97, 0.92, 0.94, 07/26/24-15:28:18
claude-3-5-sonnet-20240620, AVERAGE, 0.95, 0.95, 0.95, 0.95, 07/26/24-15:28:18
claude-3-haiku-20240307, negative, 0.91, 0.94, 0.89, 0.92, 07/26/24-15:37:59
claude-3-haiku-20240307, positive, 0.91, 0.89, 0.94, 0.91, 07/26/24-15:37:59
claude-3-haiku-20240307, AVERAGE, 0.91, 0.91, 0.91, 0.91, 07/26/24-15:37:59
open-mistral-nemo-2407, negative, 0.74, 0.67, 0.99, 0.80, 07/26/24-15:46:29
open-mistral-nemo-2407, positive, 0.74, 0.98, 0.45, 0.62, 07/26/24-15:46:29
open-mistral-nemo-2407, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/26/24-15:46:29
mistral-large-latest, negative, 0.85, 0.78, 0.99, 0.87, 07/26/24-15:54:35
mistral-large-latest, positive, 0.85, 0.98, 0.69, 0.81, 07/26/24-15:54:35
