open-mistral-nemo-2407, AVERAGE, 0.62, 0.62, 0.62, 0.62, 07/28/24-16:03:05
mistral-large-latest, positive, 0.74, 0.92, 0.79, 0.85, 07/28/24-16:11:20
mistral-large-latest, negative, 0.74, 0.80, 0.66, 0.73, 07/28/24-16:11:20
mistral-large-latest, neutral, 0.74, 0.36, 0.62, 0.45, 07/28/24-16:11:20
mistral-large-latest, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/28/24-16:11:20
senticnet, positive, 0.30, 0.77, 0.27, 0.39, 07/30/24-16:16:52
senticnet, negative, 0.30, 0.22, 0.12, 0.15, 07/30/24-16:16:52
senticnet, neutral, 0.30, 0.15, 0.62, 0.24, 07/30/24-16:16:52
senticnet, AVERAGE, 0.30, 0.30, 0.30, 0.30, 07/30/24-16:16:52
gpt-4o, positive, 0.86, 0.91, 0.96, 0.93, 07/30/24-16:20:34
gpt-4o, negative, 0.86, 0.83, 0.86, 0.84, 07/30/24-16:20:34
gpt-4o, neutral, 0.86, 0.64, 0.47, 0.55, 07/30/24-16:20:34
gpt-4o, AVERAGE, 0.86, 0.86, 0.86, 0.86, 07/30/24-16:20:34
gpt-4-turbo, positive, 0.84, 0.89, 0.96, 0.93, 07/30/24-16:26:33
gpt-4-turbo, negative, 0.84, 0.81, 0.85, 0.83, 07/30/24-16:26:33
gpt-4-turbo, neutral, 0.84, 0.56, 0.35, 0.43, 07/30/24-16:26:33
gpt-4-turbo, AVERAGE, 0.84, 0.84, 0.84, 0.84, 07/30/24-16:26:33
gpt-3.5-turbo-0125, positive, 0.79, 0.81, 0.96, 0.88, 07/30/24-16:29:34
gpt-3.5-turbo-0125, negative, 0.79, 0.75, 0.75, 0.75, 07/30/24-16:29:34
gpt-3.5-turbo-0125, neutral, 0.79, 0.58, 0.14, 0.22, 07/30/24-16:29:34
gpt-3.5-turbo-0125, AVERAGE, 0.79, 0.79, 0.79, 0.79, 07/30/24-16:29:34
open-mistral-nemo-2407, positive, 0.61, 0.89, 0.68, 0.77, 07/30/24-16:39:27
open-mistral-nemo-2407, negative, 0.61, 0.75, 0.23, 0.35, 07/30/24-16:39:27
open-mistral-nemo-2407, neutral, 0.61, 0.28, 0.74, 0.41, 07/30/24-16:39:27
open-mistral-nemo-2407, AVERAGE, 0.61, 0.62, 0.61, 0.61, 07/30/24-16:39:27
mistral-large-latest, positive, 0.74, 0.91, 0.79, 0.85, 07/30/24-16:47:40
mistral-large-latest, negative, 0.74, 0.79, 0.66, 0.72, 07/30/24-16:47:40
mistral-large-latest, neutral, 0.74, 0.35, 0.60, 0.44, 07/30/24-16:47:40
mistral-large-latest, AVERAGE, 0.74, 0.74, 0.74, 0.74, 07/30/24-16:47:40
claude-3-5-sonnet-20240620, positive, 0.83, 0.89, 0.92, 0.91, 07/30/24-21:27:01
claude-3-5-sonnet-20240620, negative, 0.83, 0.94, 0.82, 0.87, 07/30/24-21:27:01
claude-3-5-sonnet-20240620, neutral, 0.83, 0.49, 0.50, 0.49, 07/30/24-21:27:01
claude-3-5-sonnet-20240620, AVERAGE, 0.83, 0.83, 0.83, 0.83, 07/30/24-21:27:01
claude-3-haiku-20240307, positive, 0.77, 0.83, 0.95, 0.89, 07/30/24-21:36:29
claude-3-haiku-20240307, negative, 0.77, 0.69, 0.74, 0.72, 07/30/24-21:36:29
claude-3-haiku-20240307, neutral, 0.77, 0.57, 0.05, 0.09, 07/30/24-21:36:29
claude-3-haiku-20240307, AVERAGE, 0.77, 0.80, 0.77, 0.78, 07/30/24-21:36:29
